step	cap_aorta	cap_aorta_2	cap_top(2)	cap_top(3)	cap_top(4)	
01260	22.913528	-12.828395	-6.640823	-2.039196	-1.405620	
01270	26.079208	-14.652828	-7.432688	-2.403050	-1.590661	
01280	29.163715	-16.418545	-8.201199	-2.766801	-1.776348	
01290	32.165234	-18.174844	-8.889681	-3.136047	-1.966493	
01300	35.081993	-19.937948	-9.485316	-3.504572	-2.154434	
01310	37.912259	-21.692592	-10.012978	-3.867745	-2.339274	
01320	40.654345	-23.412007	-10.504407	-4.220490	-2.518027	
01330	43.283498	-25.065966	-10.982574	-4.552155	-2.683368	
01340	45.820230	-26.639866	-11.473620	-4.867658	-2.839599	
01350	48.263052	-28.129135	-11.977876	-5.168359	-2.988097	
01360	50.610522	-29.535406	-12.489412	-5.455435	-3.130517	
01370	52.861245	-30.865738	-12.997516	-5.731048	-3.267071	
01380	55.013875	-32.130190	-13.483760	-5.998765	-3.401333	
01390	57.041763	-33.338890	-13.922667	-6.252531	-3.527771	
01400	58.968256	-34.502004	-14.320228	-6.497261	-3.649312	
01410	60.792230	-35.616643	-14.679205	-6.731219	-3.765665	
01420	62.512610	-36.675061	-15.010288	-6.952625	-3.875220	
01430	64.128369	-37.667764	-15.322945	-7.160675	-3.977465	
01440	65.638540	-38.586408	-15.622674	-7.355997	-4.073887	
01450	67.015230	-39.426740	-15.898409	-7.531682	-4.158770	
01460	68.284049	-40.195214	-16.157381	-7.694655	-4.236965	
01470	69.444263	-40.896060	-16.393269	-7.846071	-4.308979	
01480	70.495188	-41.533684	-16.600724	-7.986598	-4.374956	
01490	71.436199	-42.109165	-16.776187	-8.116088	-4.434586	
01500	72.266722	-42.621832	-16.919814	-8.235459	-4.489379	
01510	72.958312	-43.066616	-17.023311	-8.336208	-4.532560	
01520	73.538216	-43.446188	-17.099443	-8.423529	-4.568179	
01530	74.006104	-43.756326	-17.155226	-8.497064	-4.596279	
01540	74.361702	-43.994159	-17.191894	-8.557004	-4.616943	
01550	74.604793	-44.158663	-17.209831	-8.603763	-4.630491	
01560	74.735216	-44.250722	-17.207484	-8.639949	-4.639779	
01570	74.724683	-44.268126	-17.162738	-8.654894	-4.636252	
01580	74.601389	-44.219425	-17.093467	-8.658441	-4.627551	
01590	74.365424	-44.106114	-16.995817	-8.648887	-4.611875	
01600	74.016935	-43.926596	-16.871795	-8.626238	-4.589490	
01610	73.556123	-43.679195	-16.722834	-8.590660	-4.560486	
01620	72.983238	-43.361554	-16.549018	-8.543130	-4.526508	
01630	72.270837	-42.971215	-16.339792	-8.475650	-4.481035	
01640	71.447383	-42.512394	-16.108860	-8.394550	-4.428566	
01650	70.513381	-41.984319	-15.856781	-8.299723	-4.369174	
01660	69.469388	-41.387135	-15.584133	-8.191641	-4.303090	
01670	68.316016	-40.721018	-15.290280	-8.070940	-4.230569	
01680	67.053933	-39.986050	-14.972378	-7.938909	-4.153401	
01690	65.657208	-39.182467	-14.618264	-7.788279	-4.065442	
01700	64.153868	-38.315534	-14.239325	-7.625126	-3.971160	
01710	62.544822	-37.385863	-13.835953	-7.449570	-3.870598	
01720	60.831030	-36.393515	-13.408948	-7.261866	-3.763776	
01730	59.013500	-35.338071	-12.959292	-7.062394	-3.650886	
01740	57.093292	-34.220425	-12.489918	-6.853860	-3.535285	
01750	55.046633	-33.035668	-11.983420	-6.625180	-3.406545	
01760	52.900428	-31.789652	-11.458030	-6.384893	-3.272222	
01770	50.655962	-30.483452	-10.911734	-6.133120	-3.132012	
01780	48.314571	-29.119136	-10.343353	-5.870328	-2.986156	
01790	45.877635	-27.697425	-9.753258	-5.596764	-2.834679	
01800	43.346584	-26.217141	-9.142186	-5.313083	-2.678835	
