step	cap_aorta	cap_aorta_2	cap_bct	cap_left_carotid	cap_left_subclavian	
01550	-18.533715	11.702301	5.262031	1.868755	2.635762	
01560	-18.195764	11.952933	5.727233	1.807359	3.113345	
01570	-17.941538	11.396201	5.478921	1.912190	2.676363	
01580	-17.750797	11.624121	5.741214	1.894214	3.090666	
01590	-17.620214	10.955543	5.080097	1.734856	2.516886	
01600	-17.546050	11.497176	5.710763	1.870719	3.070848	
01610	-17.524188	11.029036	5.368882	1.866497	2.577627	
01620	-17.550159	11.454461	5.712650	1.853925	3.008569	
01630	-17.627760	11.060448	5.327437	1.847524	2.527051	
01640	-17.739698	11.538481	5.722940	1.820421	2.967347	
01650	-17.880513	11.209260	5.357177	1.827712	2.509065	
01660	-18.044661	11.638520	5.641792	1.759813	2.906017	
01670	-18.226540	11.361226	5.314608	1.793117	2.492619	
01680	-18.420527	11.816801	5.672444	1.738385	2.897858	
01690	-18.620385	11.562259	5.394600	1.784805	2.510478	
01700	-18.817743	11.994153	5.684774	1.700905	2.882736	
01710	-19.007457	11.757623	5.410091	1.759687	2.515836	
01720	-19.184611	12.150566	5.680515	1.669815	2.878282	
01730	-19.344549	11.920867	5.426040	1.753742	2.541268	
01740	-19.482894	12.291490	5.657935	1.640100	2.874266	
01750	-19.587808	12.037501	5.405103	1.733094	2.556715	
01760	-19.661591	12.365183	5.619665	1.600190	2.866537	
01770	-19.701599	12.068893	5.369991	1.707171	2.575875	
01780	-19.705651	12.362490	5.511495	1.540689	2.834618	
01790	-19.672050	12.058291	5.266144	1.667826	2.554525	
01800	-19.599591	12.286753	5.355382	1.466357	2.780861	
01810	-19.477851	11.950756	5.126469	1.614948	2.518611	
01820	-19.317188	12.116576	5.176442	1.390721	2.698906	
01830	-19.118788	11.792312	4.897997	1.524671	2.410332	
01840	-18.884377	11.868703	4.947247	1.297008	2.588441	
01850	-18.616212	11.500805	4.669918	1.443431	2.317140	
01860	-18.317077	11.514959	4.685579	1.196780	2.465788	
01870	-17.985138	11.102222	4.396688	1.353003	2.206436	
01880	-17.632629	11.008139	4.269320	1.018934	2.258154	
01890	-17.264458	10.310519	3.462523	0.915377	1.827110	
01900	-16.885918	10.258036	3.865061	1.033616	1.964630	
01910	-16.502653	10.293352	3.913880	0.919141	2.115333	
01920	-16.120633	9.559498	2.969881	0.732457	1.648960	
01930	-15.750758	9.647565	3.779880	1.081436	1.939478	
01940	-15.399422	9.326282	3.236103	0.639665	1.674552	
01950	-15.073382	9.297205	3.515628	1.245690	1.963465	
01960	-14.779395	9.062858	3.574203	1.147260	1.855119	
01970	-14.524168	8.390261	2.469231	0.285414	1.236469	
01980	-14.314306	9.119376	4.037614	1.214572	2.161096	
01990	-14.171657	8.388336	2.874231	0.784992	1.576488	
02000	-14.090567	8.541618	3.559004	1.081370	1.799574	
02010	-14.076245	8.182498	2.804145	0.456806	1.369230	
02020	-14.133377	8.842566	4.094159	1.373032	2.148986	
02030	-14.266066	8.537852	3.468014	1.016280	1.808684	
02040	-14.477777	8.596086	3.609489	1.071798	1.767761	
02050	-14.792194	8.646416	3.719032	0.997359	1.770886	
02060	-15.190233	8.591409	3.134438	0.511764	1.470415	
02070	-15.671589	9.143858	3.840642	0.837654	1.856196	
02080	-16.234939	9.755412	4.647168	1.461690	2.340001	
02090	-16.877907	9.880323	4.354663	1.254030	2.173379	
02100	-17.597027	10.045083	4.128071	1.051014	2.030924	
02110	-18.402687	10.655364	4.840982	1.401823	2.317822	
02120	-19.268276	11.068933	4.968384	1.323276	2.343700	
02130	-20.184988	11.272967	4.498189	0.885083	2.085571	
