step	btrunk	carotid	inflow	outflow	subclavian	
00650	214186.417265	210958.540870	212754.105938	211349.485630	211823.563212	
00660	214566.665490	211420.375661	213169.918535	211817.758747	212264.165975	
00670	214897.231518	211834.322068	213525.305643	212239.248896	212656.140099	
00680	215180.244879	212202.052424	213834.044485	212614.097353	213001.583505	
00690	215415.451474	212523.153812	214095.808773	212941.885205	213300.145148	
00700	215602.622345	212797.265347	214310.322603	213222.227093	213551.518184	
00710	215741.552308	213024.069430	214477.534481	213454.771642	213755.453220	
00720	215831.657047	213202.960398	214606.293662	213639.118319	213911.314427	
00730	215871.316120	213332.204691	214675.352208	213774.777771	214017.111036	
00740	215862.479702	213413.337116	214696.462167	213862.000021	214074.747391	
00750	215805.097511	213446.139123	214669.483774	213900.564851	214084.065141	
00760	215699.160077	213430.430958	214594.311974	213890.285577	214044.938158	
00770	215544.686560	213366.081371	214471.038487	213831.011299	213957.286302	
00780	215341.404359	213252.739015	214306.707905	213722.565584	213820.740788	
00790	215088.265991	213089.246271	214084.822495	213564.722637	213633.933783	
00800	214787.001316	212876.970192	213814.832177	213357.834219	213398.528217	
00810	214437.775273	212615.886937	213496.779426	213101.888031	213114.549545	
00820	214040.788335	212306.011107	213130.736218	212796.908626	212782.058974	
00830	213596.266972	211947.400380	212716.962930	212442.958766	212401.163043	
00840	213104.250745	211539.973093	212260.500482	212040.091664	211971.768450	
00850	212564.301264	211083.156676	211749.993258	211588.348919	211493.159912	
00860	211977.874983	210578.118253	211192.398809	211088.178596	210966.724359	
00870	211345.306591	210025.059204	210588.001954	210539.785598	210392.697795	
00880	210666.946290	209424.217951	209936.995238	209943.419558	209771.358251	
00890	209943.164807	208775.872830	209239.863677	209299.366408	209103.017643	
00900	209174.230024	208080.251118	208499.634561	208607.932886	208387.900732	
00910	208360.367579	207336.796489	207711.113984	207868.257487	207625.533824	
00920	207502.277093	206547.404929	206876.599964	207083.463848	206817.580609	
